car	marca	modelo	año	cilindrada	estilo	combustibile	transmision	estado	kilometraje	puertas	pagoImpuesto	negociable	recibeVehiculo	fechaIngreso	vecesVisto	comentarios	precio
31630604	Hyundai	PORTER	2000	"2,700 cc"	Pickup 4x2	Diesel	Manual	Muy Bueno	221000	4	SI	NO	NO	03 de Febrero del 2020	Este vehículo ha sido visto 241 veces.		3850000
19263977	Honda	CRV	2000	"2,000 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Excelente	ND	5	SI	SI	SI	03 de Febrero del 2020	Este vehículo ha sido visto 251 veces.	Pantalla con tv pioneer	3850000
22789620	Hyundai	ACCENT	2010	"1,600 cc"	Sedán	Gasolina	Automática/Dual	Excelente	119000	4	SI	SI	SI	04 de Febrero del 2020	Este vehículo ha sido visto 366 veces.	Excelentes condiciones bajo km garantía por escrito muy económico	3850000
58600054	Hyundai	GALLOPER II	2002	"2,500 cc"	Todo Terreno 4x4	Diesel	Manual	Muy Bueno	240000	4	SI	SI	NO	04 de Febrero del 2020	Este vehículo ha sido visto 104 veces.	Muy buen estado.  Tiene motor Mitsubishi diesel	3850000
87351569	Chevrolet	AVEO	2011	"1,600 cc"	Sedán	Gasolina	Automática/Dual	Excelente	154000	4	SI	SI	NO	05 de Febrero del 2020	Este vehículo ha sido visto 369 veces.	Excelentes condiciones rtv en blanco llantas nuevas	3850000
97751958	Nissan	XTERRA	2002	"3,300 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	156000	4	SI	SI	NO	06 de Febrero del 2020	Este vehículo ha sido visto 172 veces.	Muy lindo llame y negociamos si se recibe cambia el precio.	3850000
89445456	Suzuki	GRAND VITARA XL7	2001	"2,700 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	183500	4	SI	NO	NO	10 de Febrero del 2020	Este vehículo ha sido visto 106 veces.	SE CAMBIA PREFERIBLEMENTE POR OTRO CUATRO POR CUATRO MAS NUEVO.	3850000
95658764	Toyota	COROLLA	2005	"1,800 cc"	Sedán	Gasolina	Automática/Dual	Excelente	189000	4	SI	SI	NO	12 de Febrero del 2020	Este vehículo ha sido visto 37 veces.	Vehiculo en exelentes condiciones muy bien cuidado	3850000
26917670	Peugeot	307	2008	"1,600 cc"	Sedán	Gasolina	Manual	Muy Bueno	79000	4	SI	SI	NO	12 de Febrero del 2020	Este vehículo ha sido visto 59 veces.		3850000
71453554	Hyundai	I10	2012	"1,200 cc"	Hatchback	Gasolina	Manual	Excelente	135000	5	SI	NO	NO	13 de Febrero del 2020	Este vehículo ha sido visto 127 veces.	Excelente Estado Mecánico y Pintura	3850000
91550710	Honda	CIVIC	2007	"1,800 cc"	Sedán	Gasolina	Automática/Dual	Excelente	172000	2	SI	NO	NO	13 de Febrero del 2020	Este vehículo ha sido visto 37 veces.	Automático RTV al próximo año. Urge vender por negocio	3850000
86321217	Toyota	COROLLA CE	2005	"1,800 cc"	Sedán	Gasolina	Manual	Excelente	142987	4	SI	SI	NO	08 de Febrero del 2020	Este vehículo ha sido visto 1253 veces.	Excelente Estado!  Carro de uso familiar muy bien cuidado. Mantenimiento Taller certificado Toyota.	3950000
62880074	Ford	FOCUS	2006	"2,000 cc"	Sedán	Gasolina	Manual	Excelente	ND	4	SI	SI	SI	16 de Enero del 2020	Este vehículo ha sido visto 554 veces.	"Se recibe carro SUV de mayor valor, con un tope maximo de cinco mil dolares de reintegro."	3950000
86724678	BMW	330I	2001	"3,000 cc"	Sedán	Gasolina	Automática/Dual	Bueno	260000	4	SI	NO	NO	19 de Enero del 2020	Este vehículo ha sido visto 884 veces.		3950000
26694046	Chevrolet	TRACKER	2004	"2,500 cc"	Todo Terreno 4x2	Gasolina	Automática/Dual	Excelente	ND	4	SI	SI	NO	20 de Enero del 2020	Este vehículo ha sido visto 461 veces.	FINANCIAMIENTO DISPONIBLE	3950000
36368816	Toyota	YARIS	2007	"1,500 cc"	Sedán	Gasolina	Manual	Excelente	193000	5	SI	NO	NO	21 de Enero del 2020	Este vehículo ha sido visto 440 veces.	Radio con pantalla	3950000
56210852	Nissan	TIIDA	2008	"1,600 cc"	Sedán	Gasolina	Manual	Muy Bueno	ND	4	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 360 veces.	Vehiculo en Excelentes condiciones todos los mantenimientos.NO ha sido uber Precio negociable!!!	3950000
96520689	Nissan	TIIDA	2011	"1,600 cc"	Sedán	Gasolina	Manual	Excelente	ND	4	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 934 veces.	Impecable frenos llantas y bateria nuevos  frenos EBD y ABS sacado de AGENCIA !!!	3950000
60578148	Toyota	COROLLA	2005	"1,800 cc"	Sedán	Gasolina	Manual	Excelente	119000	4	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 318 veces.	rtv y marchamo al dia vehiculo familiar muy cuidado	3950000
3222755	Hyundai	ELANTRA	2009	"1,600 cc"	Sedán	Gasolina	Manual	Excelente	125000	4	SI	SI	SI	29 de Enero del 2020	Este vehículo ha sido visto 440 veces.	EXCELENTE ESTADO   VERSIÓN  NACIONAL	3950000
9389121	Hyundai	ELANTRA	2009	"1,600 cc"	Sedán	Gasolina	Manual	Excelente	144000	4	SI	SI	SI	29 de Enero del 2020	Este vehículo ha sido visto 453 veces.	EXCELENTE ESTADO   VERSIÓN  NACIONAL	3950000
70880141	Volkswagen	JETTA CLASICO	2011	"2,000 cc"	Sedán	Gasolina	Manual	Muy Bueno	117000	4	SI	NO	NO	30 de Enero del 2020	Este vehículo ha sido visto 545 veces.		3950000
23128436	Hyundai	GETZ	2010	"1,400 cc"	Sedán	Gasolina	Manual	Excelente	162000	4	SI	SI	NO	31 de Enero del 2020	Este vehículo ha sido visto 183 veces.	EXCELENTE ESTADO!	3950000
30819308	Nissan	VERSA SL	2008	"1,800 cc"	Sedán	Gasolina	Automática/Dual	Muy Bueno	160000	4	SI	SI	NO	04 de Febrero del 2020	Este vehículo ha sido visto 98 veces.		3950000
11080068	Suzuki	SIDEKICK	1998	"1,800 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Muy Bueno	100000	4	SI	NO	NO	03 de Febrero del 2020	Este vehículo ha sido visto 312 veces.		2000000
98924333	Hyundai	TUCSON	2007	"2,000 cc"	Todo Terreno 4x2	Gasolina	Manual	Muy Bueno	233000	5	SI	SI	NO	10 de Febrero del 2020	Este vehículo ha sido visto 335 veces.	Muy buen estado. Incluido cambio de distribución	3950000
7530210	Land	Rover DISCOVERY SDV6 HSE	2014	"3,000 cc"	Todo Terreno 4x4	Diesel	Automática/Dual	Excelente	140000	4	SI	SI	NO	17 de Enero del 2020	Este vehículo ha sido visto 1774 veces.	RESPALDO PREMIUM MOTORES BRITÁNICOS....RECIBO.FINANCIO....GARANTÍA....SIETE PASAJEROS...	27170000
37433824	Hyundai	GALLOPER	1991	"2,600 cc"	Todo Terreno 4x4	Diesel	Manual	Bueno	300	5	SI	SI	SI	10 de Febrero del 2020	Este vehículo ha sido visto 166 veces.	"Todo al día. Marchamo y riteve hasta el otro año. Llantas  nuevas, batería nueva.Se escuchan ofertas"	2100000
15703025	Suzuki	SIDEKICK	1992	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	3251	5	SI	SI	NO	02 de Enero del 2020	Este vehículo ha sido visto 1375 veces.	En muy buen estado con marchamo dos mil veinte	2200000
61104195	Geo	TRACKER	1995	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Bueno	18000	3	SI	SI	NO	03 de Febrero del 2020	Este vehículo ha sido visto 470 veces.		2200000
9631680	Volkswagen	AMAROK HIGHLINE	2019	"2,000 cc"	Pickup 4x4	Diesel	Manual	Muy Bueno	5460	4	SI	SI	SI	09 de Enero del 2020	Este vehículo ha sido visto 1932 veces.	Visitanos en cualquiera de nuestras sucursales Purdy Usados o ingresá a https:www.purdyusados.com	26941200
40586610	Suzuki	VITARA JX	1993	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	61180	2	SI	SI	NO	12 de Febrero del 2020	Este vehículo ha sido visto 193 veces.	Se vende por poco uso Bloqueo diferencial automatico Aros de lujo Luces principales en Led	2200000
44955570	Honda	CIVIC TYPE R	2018	"2,000 cc"	Hatchback	Gasolina	Manual	Excelente	5000	5	SI	SI	NO	22 de Marzo del 2019	Este vehículo ha sido visto 15311 veces.	Garantia de agencia dos años o cien mil km.	27100000
32996073	Chevrolet	TRACKER	1999	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	1234	3	SI	NO	NO	06 de Febrero del 2020	Este vehículo ha sido visto 536 veces.	lindo doble tracción hidráulico doble bolsa caja quinta aros pegador carreta descapotable al dia tod	2200000
16925337	Mitsubishi	L200	2019	"2,400 cc"	Pickup 4x4	Diesel	Manual	Excelente	4500	5	SI	SI	SI	29 de Enero del 2020	Este vehículo ha sido visto 951 veces.	Nuevo....	27200000
59590559	Hyundai	GALLOPER	1993	"2,500 cc"	Todo Terreno 4x4	Diesel	Manual	Muy Bueno	188	4	SI	SI	NO	11 de Febrero del 2020	Este vehículo ha sido visto 134 veces.	"Vehiculo casi no se usa, todo al dia.Radio doble din siete plgs con dos controles. Bien de llantas."	2200000
50611251	Suzuki	SIDEKICK JX	1992	"1,600 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Muy Bueno	81500	5	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 486 veces.	Excelente doble tracción llantas nuevas inyectado gancho para remolque precio negociable todo al día	2250000
58185256	Geo	TRACKER	1995	"1,600 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Excelente	10	2	SI	SI	NO	11 de Febrero del 2020	Este vehículo ha sido visto 229 veces.	Llantas nuevas todo al dia carrocería excelente está en Aserrí	2300000
19607282	Suzuki	VITARA	1992	"1,500 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	60000	3	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 209 veces.	"Carrocería impecable, tapicería buena, techo metálico, gasolina, manual, aros de lujo, 4x4, RTV al d"	2300000
5099829	Toyota	TUNDRA	2015	"5,700 cc"	Pickup 4x4	Gasolina	Automática/Dual	Excelente	75000	4	SI	SI	SI	03 de Febrero del 2020	Este vehículo ha sido visto 396 veces.	SISTEMA DE GAS GLP SE FINANCIA Y RECIBE	27500000
37801698	Mitsubishi	MONTERO	1995	"2,500 cc"	Todo Terreno 4x4	Diesel	Manual	Regular	2	5	SI	NO	NO	16 de Enero del 2020	Este vehículo ha sido visto 756 veces.		2500000
93092621	Ford	RANGER	2016	"3,200 cc"	Pickup 4x4	Diesel	Manual	Excelente	70000	4	SI	SI	SI	05 de Febrero del 2020	Este vehículo ha sido visto 764 veces.	Recibo SUV o SEDAN de menor valor año dos mil quince en adelante	19000000
8452671	Jaguar	XE	2016	"2,000 cc"	Sedán	Gasolina	Automática/Dual	Excelente	32400	4	SI	NO	SI	11 de Febrero del 2020	Este vehículo ha sido visto 550 veces.	"vehiculo en exelentes condiciones.RESPALDO PREMIU MOTORES BRITANICOS URUCA, GARANTIA! URUCA"	19040000
2545045	Toyota	HILUX	2018	"2,400 cc"	Pickup 4x4	Diesel	Manual	Excelente	ND	2	SI	NO	NO	16 de Enero del 2020	Este vehículo ha sido visto 1725 veces.	"VERSION NACIONAL, VIDRIOS Y ESPEJOS ELECTRICOS, BLUETOOTH, HALOGENOS, AROS DE LUJO"	19066667
61444168	Ford	RANGER WILDTRAC	2015	"3,200 cc"	Pickup 4x4	Diesel	Automática/Dual	Excelente	120000	4	SI	SI	SI	28 de Enero del 2020	Este vehículo ha sido visto 893 veces.	Llantas MT nuevas snorkel Safari filtro k y n excelente recibo	19000000
88401780	Geo	TRACKER	1991	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	16000	3	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 323 veces.	marchamo RTV al dia-mataburros-pegadero de remolque-canasta-techo metalico-quemacocos-radio digital.	2500000
46301071	Mitsubishi	L200 SPORTERO	2016	"2,500 cc"	Pickup 4x4	Diesel	Manual	Excelente	48143	4	SI	SI	NO	29 de Enero del 2020	Este vehículo ha sido visto 293 veces.	Carro En Excelente Estado	19000000
18447501	Land	Rover DISCOVERY 4	2011	"3,000 cc"	Todo Terreno 4x4	Diesel	Automática/Dual	Excelente	110000	5	SI	SI	NO	31 de Enero del 2020	Este vehículo ha sido visto 312 veces.	RECIBO perfecto estado llameme y negociamos	19000000
23941238	Nissan	LEAF SV	2018	0 cc	Hatchback	Eléctrico	Automática/Dual	Excelente	20000	4	SI	SI	NO	03 de Febrero del 2020	Este vehículo ha sido visto 258 veces.	E pedal	19000000
50775388	Ford	RANGER WILDTRAK	2015	"3,200 cc"	Pickup 4x4	Diesel	Automática/Dual	Excelente	81000	4	SI	SI	NO	04 de Febrero del 2020	Este vehículo ha sido visto 143 veces.	Excelente estado racks barra led halogenos	19000000
84047985	Chevrolet	CAMARO	2017	"2,000 cc"	Hatchback	Gasolina	Automática/Dual	Excelente	30000	2	SI	SI	NO	10 de Febrero del 2020	Este vehículo ha sido visto 104 veces.	Excelente estado. Dos mil turbo. Aros chivas. Luces led. En garantía. Se recibe de pref. Wrx STI.	19000000
16837692	Daihatsu	TERIOS	2004	"1,300 cc"	Todo Terreno 4x4	Gasolina	Manual	Bueno	28000	5	SI	NO	NO	10 de Febrero del 2020	Este vehículo ha sido visto 124 veces.		2500000
2429395	Mercedes	Benz C250	2016	"2,000 cc"	Sedán	Gasolina	Automática/Dual	Excelente	68000	4	SI	SI	NO	05 de Setiembre del 2019	Este vehículo ha sido visto 3272 veces.	"Financiamiento Disponible, Excelente Estado, Garantía por Escrito."	19100000
2852244	Ford	F150 RAPTOR SVT	2012	"6,200 cc"	Pickup 4x4	Gasolina	Automática/Dual	Excelente	1	4	SI	SI	NO	06 de Febrero del 2020	Este vehículo ha sido visto 619 veces.	"Full Extras, Financiamiento Disponible, Excelente Estado, Llantas Nuevas."	19100000
8592764	Mercedes	Benz E200	2016	"2,000 cc"	Sedán	Gasolina	Automática/Dual	Excelente	39810	4	SI	SI	SI	28 de Enero del 2020	Este vehículo ha sido visto 609 veces.	MAS GASTOS DE TRASPASO	19113785
87523166	BMW	I3	2015	650 cc	Sedán	Eléctrico	Automática/Dual	Excelente	75000	5	SI	NO	SI	13 de Febrero del 2020	Este vehículo ha sido visto 39 veces.	"Todas las extras! Harman Kardon, pantalla grande, prevención de accidentes, cuero, aros de lujo, REX"	19150000
65341902	Toyota	YARIS	2009	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	162900	4	SI	SI	NO	15 de Febrero del 2020	Este vehículo ha sido visto 982 veces.	Excelente Mantenimiento - Excelente Estado - RTV y Marchamo al dia - Se Vende por Poco Uso	4400000
4384211	Mini	COOPER	2003	"1,600 cc"	Hatchback	Gasolina	Manual	Excelente	170000	3	SI	SI	SI	29 de Marzo del 2019	Este vehículo ha sido visto 1130 veces.	muy cuidado con excelente mantenimiento se recibe y se financia	4450000
6179488	Toyota	YARIS	2009	"1,500 cc"	Hatchback	Gasolina	Manual	Excelente	139230	4	SI	SI	SI	10 de Enero del 2020	Este vehículo ha sido visto 1914 veces.	"SUPER LINDO INMEJORABLES CONDICIONES,AROS DE LUJO,CD,RTV,MUY ECONOMICO,,,,"	4450000
94420210	Jeep	WRANGLER	1998	"4,000 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	180000	2	SI	NO	NO	15 de Febrero del 2020	Este vehículo ha sido visto 65 veces.	IMPECABLE TOTALMENTE AL DÍA	4400000
36283194	Honda	CIVIC LX	2008	"1,800 cc"	Sedán	Gasolina	Manual	Excelente	119000	2	SI	SI	NO	27 de Mayo del 2019	Este vehículo ha sido visto 3072 veces.	Exc Estado llantas como nuevas radio pantalla planta bajo aros coleta de SI xenon - URGE vender	4450000
91535525	Nissan	ALTIMA	2007	"2,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	102000	4	SI	SI	NO	20 de Setiembre del 2019	Este vehículo ha sido visto 1862 veces.	Full-Extras. Perfecto Estado. Todo Al Dia. Mecanicamente como Nuevo. Version Americana. Unico Dueño	4450000
57530700	Hyundai	I10	2013	"1,200 cc"	Hatchback	Gasolina	Manual	Excelente	150000	5	SI	SI	NO	17 de Diciembre del 2019	Este vehículo ha sido visto 1239 veces.	Único Dueño - Récord de Agencia - Excelente Estado - Seguro Asistencia en Carretera incluido	4450000
74856682	Suzuki	SX4	2014	"1,600 cc"	Sedán	Gasolina	Manual	Excelente	148000	4	SI	NO	NO	19 de Diciembre del 2019	Este vehículo ha sido visto 2135 veces.	SE DA EN ESE PRECIO POR NO TENER LOS AIRBAG. ESTA EN PERFECTO ESTADO	4450000
43737569	Toyota	RAV4	2002	"2,000 cc"	Todo Terreno 4x2	Gasolina	Automática/Dual	Excelente	112000	5	SI	SI	NO	16 de Enero del 2020	Este vehículo ha sido visto 483 veces.	Rtv y marchamo al dìa. Excelentes condiciones.	4450000
73774907	Toyota	YARIS	2008	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	187000	4	SI	SI	NO	24 de Enero del 2020	Este vehículo ha sido visto 243 veces.	Precio negociable  esta todo al día esta muy lindo familiar	4450000
31653609	Nissan	TIIDA	2011	"1,600 cc"	Sedán	Gasolina	Manual	Muy Bueno	ND	4	SI	SI	NO	29 de Enero del 2020	Este vehículo ha sido visto 192 veces.		4450000
45227659	Toyota	RAV4 L	2002	"2,000 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Excelente	128754	5	SI	SI	NO	30 de Enero del 2020	Este vehículo ha sido visto 194 veces.	Impecable recién pintado alarma cierre central luces led llantas nuevas quemacocos	4450000
47591082	Toyota	YARIS	2010	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	200000	4	NO	SI	NO	31 de Enero del 2020	Este vehículo ha sido visto 1125 veces.	Exc estado precio con impuestos y detallado precio negociable	4450000
13268113	Toyota	HIACE	1997	"2,400 cc"	Microbús/Minivan	Diesel	Manual	Muy Bueno	190000	4	SI	SI	NO	03 de Febrero del 2020	Este vehículo ha sido visto 129 veces.	Turbo disel -AC recien recargado-Canasta-Aros de Lujo-Cluth nuevo recien Overholiado	4450000
76428982	Nissan	FRONTIER SE	1998	"2,400 cc"	Pickup 4x4	Gasolina	Manual	Excelente	167152	2	SI	NO	NO	12 de Febrero del 2020	Este vehículo ha sido visto 183 veces.	Hermoso - Recién llegado de USA - Para inscribir - Paquete electrico - Esta en La Garita	4450000
71483676	Kia	RIO	2012	"2,300 cc"	Hatchback	Gasolina	Automática/Dual	Excelente	118000	5	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 1523 veces.	EN EXCELENTE ESTADO	4500000
16545443	Toyota	YARIS	2007	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	150	4	SI	SI	SI	27 de Enero del 2020	Este vehículo ha sido visto 255 veces.	lupas alarma cierre camara de reversa pantalla aros llantas nuevas recibo menor o mayor valor	4500000
12789990	Nissan	VERSA	2011	"1,800 cc"	Sedán	Gasolina	Automática/Dual	Excelente	114000	4	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 395 veces.		4500000
83331477	Toyota	YARIS	2009	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Muy Bueno	ND	4	SI	SI	NO	27 de Enero del 2020	Este vehículo ha sido visto 230 veces.		4500000
99239199	Suzuki	SX4	2007	"2,000 cc"	Hatchback	Gasolina	Manual	Excelente	135000	4	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 241 veces.	Vehículo doble tracción.	4500000
79181553	Mercedes	Benz 300SE	1992	"5,500 cc"	Sedán	Diesel	Automática/Dual	Muy Bueno	295000	4	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 247 veces.	El carro es blindado a	4500000
45300377	Nissan	FRONTIER	1998	"2,400 cc"	Pickup 4x2	Gasolina	Automática/Dual	Excelente	141	2	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 325 veces.	EXcELENTE VENGA Y COMPARA RECIBO SIN DETALLES ESTA ECHO UNA JOYA	4500000
47705893	Gonow	JETSTAR	2007	"2,300 cc"	Todo Terreno 4x2	Gasolina	Manual	Bueno	80000	5	SI	SI	SI	30 de Setiembre del 2019	Este vehículo ha sido visto 2953 veces.	Motor Toyota de Fabrica - economico -  mucho espacio - pintura regular - llantas casi nuevas	2950000
60280887	Toyota	CAMRY	2005	"2,400 cc"	Sedán	Gasolina	Automática/Dual	Excelente	158890	4	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 259 veces.	Excelente Estado	4500000
53368945	Dodge/RAM	RAIDER	1988	"2,500 cc"	Todo Terreno 4x4	Diesel	Manual	Excelente	200	3	SI	SI	NO	13 de Setiembre del 2019	Este vehículo ha sido visto 2914 veces.	Excelente estado turbo diésel alarma vidrios eléctricos	2600000
28827243	Toyota	YARIS S	2007	"1,500 cc"	Sedán	Gasolina	Manual	Muy Bueno	ND	5	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 269 veces.	Muy Buen estado y cuidado	4500000
71025947	Isuzu	TROOPER	1992	"2,800 cc"	Todo Terreno 4x4	Diesel	Automática/Dual	Excelente	80000	4	SI	SI	NO	20 de Enero del 2020	Este vehículo ha sido visto 378 veces.	Se vende Izusu Tropper en excelente estado. Se escuchan ofertas. No se cambia.	2600000
30442233	Toyota	YARIS	2007	"1,500 cc"	Sedán	Gasolina	Automática/Dual	Excelente	ND	5	SI	SI	NO	28 de Enero del 2020	Este vehículo ha sido visto 270 veces.	Excelente estado	4500000
8750454	Nissan	VERSA	2010	"1,800 cc"	Sedán	Gasolina	Automática/Dual	Excelente	80000	4	SI	SI	SI	29 de Enero del 2020	Este vehículo ha sido visto 405 veces.	"pauqte full electrico, muy bueno, para inscribir sea primer dueño en CR, garantia y financiamiento"	4500000
59763816	Ford	BRONCO XLT	1982	"5,800 cc"	Todo Terreno 4x4	Gasolina	Manual	Bueno	550000	2	SI	SI	NO	29 de Enero del 2020	Este vehículo ha sido visto 383 veces.	llantas treinta y cinco roll cage interno opcional bumpers en tubos	4500000
